source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,New England League,britton,P10113,Britton,,0,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,bruggy,B00278,Bruggy,,0,Lawrence,,,122,,
minoraverages/1914Spalding,1913,New England League,bruggy,F20768,Bruggy,,0,Lawrence,,,,,of98
minoraverages/1914Spalding,1913,New England League,burkett,B00840,Burkett,,0,Worcester,,,19,,
minoraverages/emilbb,1913,New England League,,M90744,Burkett,Jesse,,Worcester,,,,,
minoraverages/1914Spalding,1913,New England League,burns,B00293,Burns,,1,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,burns,B00293,Burns,,2,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,burns,B00293,Burns,,T,,,,107,,
minoraverages/1914Spalding,1913,New England League,burns,F20962,Burns,,0,Portland,,,,,of103
minoraverages/1914Spalding,1913,New England League,bushelman,B01415,Bushelman,,0,Worcester,,,42,,
minoraverages/1914Spalding,1913,New England League,bushelman,F21232,Bushelman,,0,Worcester,,,,,p42
minoraverages/1914Spalding,1913,New England League,bushelman,P10056,Bushelman,,0,Worcester,,,,,
minoraverages/1914Spalding,1913,New England League,campbell,B01078,Campbell,,0,Fall River,,,118,,
minoraverages/1914Spalding,1913,New England League,campbell,F20222,Campbell,,0,Fall River,,,,,2b82
minoraverages/1914Spalding,1913,New England League,cargo,B00898,Cargo,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,cargo,B00898,Cargo,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,cargo,B00898,Cargo,,3,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,cargo,B00898,Cargo,,T,,,,103,,
minoraverages/1914Spalding,1913,New England League,cargo,F20496,Cargo,,1,Lawrence,,,,,ss
minoraverages/1914Spalding,1913,New England League,cargo,F20496,Cargo,,2,New Bedford,,,,,ss
minoraverages/1914Spalding,1913,New England League,cargo,F20496,Cargo,,3,Fall River,,,,,ss
minoraverages/1914Spalding,1913,New England League,cargo,F20496,Cargo,,T,,,,,,ss102
minoraverages/1914Spalding,1913,New England League,carlstrom,B00356,Carlstrom,,0,Lawrence,,,121,,
minoraverages/1914Spalding,1913,New England League,carlstrom,F20038,Carlstrom,,0,Lawrence,,,,,1b87
minoraverages/1914Spalding,1913,New England League,carlstrom,F20482,Carlstrom,,0,Lawrence,,,,,ss34
minoraverages/1914Spalding,1913,New England League,carroll,B00623,Carroll,,0,Worcester,,,110,,
minoraverages/1914Spalding,1913,New England League,carroll,F21442,Carroll,,0,Worcester,,,,,c95
minoraverages/1914Spalding,1913,New England League,cassavant,B01234,Cassavant,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,cassavant,B01234,Cassavant,,2,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,cassavant,B01234,Cassavant,,T,,,,51,,
minoraverages/1914Spalding,1913,New England League,cassavant,F20526,Cassavant,,1,Fall River,,,,,ss
minoraverages/1914Spalding,1913,New England League,cassavant,F20526,Cassavant,,2,Lynn,,,,,ss
minoraverages/1914Spalding,1913,New England League,cassavant,F20526,Cassavant,,T,,,,,,ss51
minoraverages/1914Spalding,1913,New England League,catterson,B00125,Catterson,,0,Fall River,,,57,,
minoraverages/1914Spalding,1913,New England League,catterson,F20935,Catterson,,0,Fall River,,,,,of56
minoraverages/1914Spalding,1913,New England League,cawley,B01135,Cawley,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,cawley,B01135,Cawley,,2,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,cawley,B01135,Cawley,,T,,,,18,,
minoraverages/1914Spalding,1913,New England League,chaney,P10357,Chaney,,0,Brockton,,,,,
minoraverages/1914Spalding,1913,New England League,clemens,B00207,Clemens,,0,Lowell,,,127,,
minoraverages/1914Spalding,1913,New England League,clemens,F21037,Clemens,,0,Lowell,,,,,of127
minoraverages/emilbb,1913,New England League,,M90790,Clohecy,Dan,,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,collins,B01242,Collins,,0,New Bedford,,,19,,
minoraverages/1914Spalding,1913,New England League,collins,F21084,Collins,,0,New Bedford,,,,,p17
minoraverages/1914Spalding,1913,New England League,collins,P10290,Collins,,0,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,connaughton,B00434,Connaughton,,0,New Bedford,,,27,,
minoraverages/1914Spalding,1913,New England League,connaughton,F20190,Connaughton,,0,New Bedford,,,,,2b27
minoraverages/emilbb,1913,New England League,,M90777,Connaughton,Frank,,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,connolly,B01119,Connolly,,1,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,connolly,B01119,Connolly,,2,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,connolly,B01119,Connolly,,T,,,,40,,
minoraverages/1914Spalding,1913,New England League,connolly,F21450,Connolly,,1,New Bedford,,,,,c
minoraverages/1914Spalding,1913,New England League,connolly,F21450,Connolly,,2,Fall River,,,,,c
minoraverages/1914Spalding,1913,New England League,connolly,F21450,Connolly,,T,,,,,,c34
minoraverages/1914Spalding,1913,New England League,cooney-fr,B00149,Cooney,,0,Fall River,,,23,,
minoraverages/1914Spalding,1913,New England League,cooney-wor,B00241,Cooney,,0,Worcester,,,73,,
minoraverages/1914Spalding,1913,New England League,cooney-wor,F20518,Cooney,,0,Worcester,,,,,ss61
minoraverages/1914Spalding,1913,New England League,courtney-law+low,B00308,Courtney,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,courtney-law+low,B00308,Courtney,,2,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,courtney-law+low,B00308,Courtney,,T,,,,58,,
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,B00442,Courtney,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,B00442,Courtney,,2,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,B00442,Courtney,,T,,,,79,,
minoraverages/1914Spalding,1913,New England League,courtney-law+low,F20594,Courtney,,1,Lawrence,,,,,ss
minoraverages/1914Spalding,1913,New England League,courtney-law+low,F20594,Courtney,,2,Lowell,,,,,ss
minoraverages/1914Spalding,1913,New England League,courtney-law+low,F20594,Courtney,,T,,,,,,ss58
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,F20997,Courtney,,1,Fall River,,,,,of
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,F20997,Courtney,,2,Portland,,,,,of
minoraverages/1914Spalding,1913,New England League,courtney-fr+por,F20997,Courtney,,T,,,,,,of78
minoraverages/1914Spalding,1913,New England League,crowley,B00865,Crowley,,1,Worcester,,,,,
minoraverages/1914Spalding,1913,New England League,crowley,B00865,Crowley,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,crowley,B00865,Crowley,,T,,,,64,,
minoraverages/1914Spalding,1913,New England League,crowley,F20287,Crowley,,0,New Bedford,,,,,2b38
minoraverages/1914Spalding,1913,New England League,crowley,F20648,Crowley,,1,Worcester,,,,,ss
minoraverages/1914Spalding,1913,New England League,crowley,F20648,Crowley,,2,New Bedford,,,,,ss
minoraverages/1914Spalding,1913,New England League,crowley,F20648,Crowley,,T,,,,,,ss24
minoraverages/1914Spalding,1913,New England League,cunningham,B00904,Cunningham,,0,Lynn,,,38,,
minoraverages/1914Spalding,1913,New England League,cunningham,F21229,Cunningham,,0,Lynn,,,,,p37
minoraverages/1914Spalding,1913,New England League,cunningham,P10145,Cunningham,,0,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,daly,B00163,Daly,,0,Lowell,,,95,,
minoraverages/1914Spalding,1913,New England League,daly,F21488,Daly,,0,Lowell,,,,,c85
minoraverages/1914Spalding,1913,New England League,daum,B00553,Daum,,1,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,daum,B00553,Daum,,2,Brockton,,,,,
minoraverages/1914Spalding,1913,New England League,daum,B00553,Daum,,T,,,,68,,
minoraverages/1914Spalding,1913,New England League,daum,F20067,Daum,,0,Brockton,,,,,1b20
minoraverages/1914Spalding,1913,New England League,daum,F21427,Daum,,1,Lynn,,,,,c
minoraverages/1914Spalding,1913,New England League,daum,F21427,Daum,,2,Brockton,,,,,c
minoraverages/1914Spalding,1913,New England League,daum,F21427,Daum,,T,,,,,,c41
minoraverages/1914Spalding,1913,New England League,degroff,B00264,DeGroff,,0,Lowell,,,120,,
minoraverages/1914Spalding,1913,New England League,degroff,F21013,DeGroff,,0,Lowell,,,,,of119
minoraverages/1914Spalding,1913,New England League,dean,B01181,Dean,,0,New Bedford,,,41,,
minoraverages/1914Spalding,1913,New England League,dean,F20211,Dean,,0,New Bedford,,,,,2b19
minoraverages/1914Spalding,1913,New England League,dee,B00739,Dee,,0,Lowell,,,128,,
minoraverages/1914Spalding,1913,New England League,dee,F20388,Dee,,0,Lowell,,,,,3b118
minoraverages/1914Spalding,1913,New England League,delaney,B00920,Delaney,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,delaney,B00920,Delaney,,2,Worcester,,,,,
minoraverages/1914Spalding,1913,New England League,delaney,B00920,Delaney,,T,,,,37,,
minoraverages/1914Spalding,1913,New England League,devine,B00158,Devine,,0,Fall River,,,114,,
minoraverages/1914Spalding,1913,New England League,devine,F20144,Devine,,0,Fall River,,,,,1b19
minoraverages/1914Spalding,1913,New England League,devine,F20334,Devine,,0,Fall River,,,,,3b76
minoraverages/1914Spalding,1913,New England League,dowd,B00232,Dowd,,0,Brockton,,,119,,
minoraverages/1914Spalding,1913,New England League,dowd,F20279,Dowd,,0,Brockton,,,,,2b119
minoraverages/emilbb,1913,New England League,,M90731,Duffy,Hugh,,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,ferrin,B00680,Ferrin,,1,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,ferrin,B00680,Ferrin,,2,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,ferrin,B00680,Ferrin,,3,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,ferrin,B00680,Ferrin,,4,Brockton,,,,,
minoraverages/1914Spalding,1913,New England League,ferrin,B00680,Ferrin,,T,,,,90,,
minoraverages/1914Spalding,1913,New England League,ferrin,F20685,Ferrin,,1,Portland,,,,,of
minoraverages/1914Spalding,1913,New England League,ferrin,F20685,Ferrin,,2,Lawrence,,,,,of
minoraverages/1914Spalding,1913,New England League,ferrin,F20685,Ferrin,,3,Brockton,,,,,of
minoraverages/1914Spalding,1913,New England League,ferrin,F20685,Ferrin,,4,Fall River,,,,,of
minoraverages/1914Spalding,1913,New England League,ferrin,F20685,Ferrin,,T,,,,,,of89
minoraverages/1914Spalding,1913,New England League,finneran,B01162,Finneran,,0,Lowell,,,20,,
minoraverages/1914Spalding,1913,New England League,finneran,F21059,Finneran,,0,Lowell,,,,,p20
minoraverages/1914Spalding,1913,New England League,finneran,P10019,Finneran,,0,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,fishburne,B00936,Fishburne,,0,Fall River,,,47,,
minoraverages/1914Spalding,1913,New England League,fishburne,F20612,Fishburne,,0,Fall River,,,,,ss36
minoraverages/1914Spalding,1913,New England League,flaherty-lyn,B00912,Flaherty,,0,Lynn,,,55,,
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,B01064,Flaherty,,1,Brockton,,,,,
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,B01064,Flaherty,,2,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,B01064,Flaherty,,T,,,,87,,
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,F20401,Flaherty,,0,Brockton,,,,,3b66
minoraverages/1914Spalding,1913,New England League,flaherty-lyn,F20661,Flaherty,,0,Lynn,,,,,of31
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,F20829,Flaherty,,1,Brockton,,,,,of
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,F20829,Flaherty,,2,Lawrence,,,,,of
minoraverages/1914Spalding,1913,New England League,flaherty-bro+law,F20829,Flaherty,,T,,,,,,of18
minoraverages/emilbb,1913,New England League,,M90766,Flaherty,Patsy,,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,fuller,B00667,Fuller,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,fuller,B00667,Fuller,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,fuller,B00667,Fuller,,T,,,,36,,
minoraverages/1914Spalding,1913,New England League,fuller,F21324,Fuller,,1,Lawrence,,,,,p
minoraverages/1914Spalding,1913,New England League,fuller,F21324,Fuller,,2,New Bedford,,,,,p
minoraverages/1914Spalding,1913,New England League,fuller,F21324,Fuller,,T,,,,,,p33
minoraverages/1914Spalding,1913,New England League,fuller,P10244,Fuller,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,fuller,P10244,Fuller,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,fuller,P10244,Fuller,,T,,,,,,
minoraverages/1914Spalding,1913,New England League,galvin,B01093,Galvin,,0,Lawrence,,,35,,
minoraverages/1914Spalding,1913,New England League,galvin,F21381,Galvin,,0,Lawrence,,,,,c34
minoraverages/emilbb,1913,New England League,,M90728,Gray,James,,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,griffith,B00045,Griffith,,0,New Bedford,,,95,,
minoraverages/1914Spalding,1913,New England League,griffith,F20745,Griffith,,0,New Bedford,,,,,of87
minoraverages/1914Spalding,1913,New England League,halstein,B00174,Halstein,,0,Lowell,,,125,,
minoraverages/1914Spalding,1913,New England League,halstein,F20046,Halstein,,0,Lowell,,,,,1b125
minoraverages/1914Spalding,1913,New England League,hambacher,B00544,Hambacher,,0,Worcester,,,24,,
minoraverages/1914Spalding,1913,New England League,hambacher,F20878,Hambacher,,0,Worcester,,,,,of24
minoraverages/1914Spalding,1913,New England League,harrington,B00695,Harrington,,0,Lynn,,,30,,
minoraverages/1914Spalding,1913,New England League,harrington,F21130,Harrington,,0,Lynn,,,,,p23
minoraverages/1914Spalding,1913,New England League,harrington,P10277,Harrington,,0,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,hayden,B00566,Hayden,,0,Portland,,,94,,
minoraverages/1914Spalding,1913,New England League,hayden,F21469,Hayden,,0,Portland,,,,,c84
minoraverages/1914Spalding,1913,New England League,henderson,B01203,Henderson,,0,Lowell,,,33,,
minoraverages/1914Spalding,1913,New England League,henderson,F21278,Henderson,,0,Lowell,,,,,p29
minoraverages/1914Spalding,1913,New England League,henderson,P10024,Henderson,,0,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,hickman,B00092,Hickman,,0,Portland,,,120,,
minoraverages/1914Spalding,1913,New England League,hickman,F20552,Hickman,,0,Portland,,,,,ss112
minoraverages/1914Spalding,1913,New England League,howard-bro,B00182,Howard,,0,Brockton,,,85,,
minoraverages/1914Spalding,1913,New England League,howard-fr,B00589,Howard,,0,Fall River,,,58,,
minoraverages/1914Spalding,1913,New England League,howard-lyn,F20458,Howard,,0,Lynn,,,,,3b20
minoraverages/1914Spalding,1913,New England League,howard-fr,F20855,Howard,,0,Fall River,,,,,of37
minoraverages/1914Spalding,1913,New England League,howard-bro,F20886,Howard,,0,Brockton,,,,,of83
minoraverages/1914Spalding,1913,New England League,hoyt,B00609,Hoyt,,0,Brockton,,,33,,
minoraverages/1914Spalding,1913,New England League,hoyt,F20102,Hoyt,,0,Brockton,,,,,1b32
minoraverages/1914Spalding,1913,New England League,jacobsen,F20807,Jacobsen,,1,Portland,,,,,of
minoraverages/1914Spalding,1913,New England League,jacobsen,F20807,Jacobsen,,2,Lynn,,,,,of
minoraverages/1914Spalding,1913,New England League,jacobsen,F20807,Jacobsen,,T,,,,,,of17
minoraverages/1914Spalding,1913,New England League,jacobsen,B00961,Jacobson,,1,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,jacobsen,B00961,Jacobson,,2,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,jacobsen,B00961,Jacobson,,T,,,,17,,
minoraverages/1914Spalding,1913,New England League,jewell,B01197,Jewell,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,jewell,B01197,Jewell,,2,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,jewell,B01197,Jewell,,T,,,,32,,
minoraverages/1914Spalding,1913,New England League,jewell,F21293,Jewell,,1,Portland,,,,,p
minoraverages/1914Spalding,1913,New England League,jewell,F21293,Jewell,,2,Lawrence,,,,,p
minoraverages/1914Spalding,1913,New England League,jewell,F21293,Jewell,,T,,,,,,p32
minoraverages/1914Spalding,1913,New England League,jewell,P10202,Jewell,,1,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,jewell,P10202,Jewell,,2,Portland,,,,,
minoraverages/1914Spalding,1913,New England League,jewell,P10202,Jewell,,T,,,,,,
minoraverages/1914Spalding,1913,New England League,johnson,B00502,Johnson,,0,Fall River,,,38,,
minoraverages/1914Spalding,1913,New England League,johnson,F21286,Johnson,,0,Fall River,,,,,p38
minoraverages/1914Spalding,1913,New England League,johnson,P10253,Johnson,,0,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,jones,B00319,Jones,,0,Fall River,,,15,,
minoraverages/1914Spalding,1913,New England League,jones,F20776,Jones,,0,Fall River,,,,,of15
minoraverages/1914Spalding,1913,New England League,kane,B00794,Kane,,0,New Bedford,,,75,,
minoraverages/1914Spalding,1913,New England League,kane,F20128,Kane,,0,New Bedford,,,,,1b35
minoraverages/1914Spalding,1913,New England League,kane,F20759,Kane,,0,New Bedford,,,,,of22
minoraverages/1914Spalding,1913,New England League,kennedy-nb,B00726,Kennedy,,0,New Bedford,,,113,,
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,B01086,Kennedy,,1,Worcester,,,,,
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,B01086,Kennedy,,2,Brockton,,,,,
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,B01086,Kennedy,,T,,,,85,,
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,F20131,Kennedy,,0,Brockton,,,,,1b52
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,F20636,Kennedy,,1,Worcester,,,,,ss
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,F20636,Kennedy,,2,Brockton,,,,,ss
minoraverages/1914Spalding,1913,New England League,kennedy-wor+bro,F20636,Kennedy,,T,,,,,,ss27
minoraverages/1914Spalding,1913,New England League,kennedy-nb,F20981,Kennedy,,0,New Bedford,,,,,of113
minoraverages/1914Spalding,1913,New England League,kilhullen,B00747,Kilhullen,,0,New Bedford,,,104,,
minoraverages/1914Spalding,1913,New England League,kilhullen,F21515,Kilhullen,,0,New Bedford,,,,,c92
minoraverages/1914Spalding,1913,New England League,king-nb,B01055,King,,0,New Bedford,,,48,,
minoraverages/1914Spalding,1913,New England League,king-por,B01124,King,,0,Portland,,,16,,
minoraverages/1914Spalding,1913,New England League,king-por,F20841,King,,0,Portland,,,,,of16
minoraverages/1914Spalding,1913,New England League,king-nb,F21076,King,,0,New Bedford,,,,,p41
minoraverages/1914Spalding,1913,New England League,king-nb,P10215,King,,0,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,knapp,B01288,Knapp,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,knapp,B01288,Knapp,,2,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,knapp,B01288,Knapp,,T,,,,22,,
minoraverages/1914Spalding,1913,New England League,knapp,F21264,Knapp,,1,Lawrence,,,,,p
minoraverages/1914Spalding,1913,New England League,knapp,F21264,Knapp,,2,Fall River,,,,,p
minoraverages/1914Spalding,1913,New England League,knapp,F21264,Knapp,,T,,,,,,p22
minoraverages/1914Spalding,1913,New England League,knapp,P10168,Knapp,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,knapp,P10168,Knapp,,2,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,knapp,P10168,Knapp,,T,,,,,,
minoraverages/1914Spalding,1913,New England League,lavigne,B00531,Lavigne,,1,Lowell,,,,,
minoraverages/1914Spalding,1913,New England League,lavigne,B00531,Lavigne,,2,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,lavigne,B00531,Lavigne,,T,,,,101,,
minoraverages/1914Spalding,1913,New England League,lavigne,F21475,Lavigne,,1,Lowell,,,,,c
minoraverages/1914Spalding,1913,New England League,lavigne,F21475,Lavigne,,2,Lynn,,,,,c
minoraverages/1914Spalding,1913,New England League,lavigne,F21475,Lavigne,,T,,,,,,c101
minoraverages/1914Spalding,1913,New England League,luyster,B00037,Layster,,0,Lawrence,,,121,,
minoraverages/1914Spalding,1913,New England League,leonard,B00879,Leonard,,1,Lynn,,,,,
minoraverages/1914Spalding,1913,New England League,leonard,B00879,Leonard,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,leonard,B00879,Leonard,,T,,,,40,,
minoraverages/1914Spalding,1913,New England League,leonard,F20604,Leonard,,1,Lynn,,,,,ss
minoraverages/1914Spalding,1913,New England League,leonard,F20604,Leonard,,2,New Bedford,,,,,ss
minoraverages/1914Spalding,1913,New England League,leonard,F20604,Leonard,,T,,,,,,ss26
minoraverages/1914Spalding,1913,New England League,logan,B00515,Logan,,1,Fall River,,,,,
minoraverages/1914Spalding,1913,New England League,logan,B00515,Logan,,2,New Bedford,,,,,
minoraverages/1914Spalding,1913,New England League,logan,B00515,Logan,,T,,,,87,,
minoraverages/1914Spalding,1913,New England League,logan,F20014,Logan,,0,New Bedford,,,,,1b47
minoraverages/1914Spalding,1913,New England League,logan,F20265,Logan,,1,Fall River,,,,,2b
minoraverages/1914Spalding,1913,New England League,logan,F20265,Logan,,2,New Bedford,,,,,2b
minoraverages/1914Spalding,1913,New England League,logan,F20265,Logan,,T,,,,,,2b40
minoraverages/1914Spalding,1913,New England League,luyster,F20924,Luyster,,0,Lawrence,,,,,of108
minoraverages/1914Spalding,1913,New England League,luyster,P10266,Luyster,,0,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,magee,B00021,Magee,,0,Lowell,,,125,,
minoraverages/1914Spalding,1913,New England League,magee,F21000,Magee,,0,Lowell,,,,,of125
minoraverages/1914Spalding,1913,New England League,mahoney,B00450,Mahoney,,0,Lawrence,,,114,,
minoraverages/1914Spalding,1913,New England League,mahoney,F20417,Mahoney,,0,Lawrence,,,,,3b111
minoraverages/1914Spalding,1913,New England League,maloney,B00210,Maloney,,0,Brockton,,,119,,
minoraverages/1914Spalding,1913,New England League,maloney,F20657,Maloney,,0,Brockton,,,,,of119
minoraverages/1914Spalding,1913,New England League,martin,B00957,Martin,,0,Lawrence,,,41,,
minoraverages/1914Spalding,1913,New England League,martin,F21255,Martin,,0,Lawrence,,,,,p41
minoraverages/1914Spalding,1913,New England League,martin,P10137,Martin,,0,Lawrence,,,,,
minoraverages/1914Spalding,1913,New England League,mayberry,B00614,Mayberry,,0,Portland,,,21,,
minoraverages/1914Spalding,1913,New England League,mayberry,F21125,Mayberry,,0,Portland,,,,,p20
minoraverages/1914Spalding,1913,New England League,mayberry,P10043,Mayberry,,0,Portland,,,,,
